,"Moderate or Low Financial status, Moderate or Low Loyalty","High Financial status, Low or Moderate Loyalty","Low Financial status, Low Loyalty","Low or Moderate Financial status, High Loyalty","High Financial status, High Loyalty",Total,Casual Browsers,Affluent Observers,Minimal Engagers,Loyal Savers
Base,83945.0,14172.0,7543.0,3843.0,621.0,110124,,,,
Round 1,,,,,,114099,86354.0,14692.0,8727.0,4326.0
Round 2,,,,,,118197,86492.0,14703.0,9227.0,7775.0
Round 3,,,,,,91675,66984.0,11397.0,7260.0,6034.0
Round 4,,,,,,48770,35560.0,6116.0,3864.0,3230.0
